# gene name                          KO     thrshld  score   E-value KO definition
#----------------------------------- ------ ------- ------ --------- ---------------------
  lcl|LN828718.1_prot_CFW92770.1_27  K04427  336.40  178.4   1.2e-54 mitogen-activated protein kinase kinase kinase 7 [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW93485.1_603 K00908  711.50   69.2   9.6e-22 calcium/calmodulin-dependent protein kinase kinase 1 [EC:2.7.11.17]
  lcl|LN828718.1_prot_CFW93485.1_603 K14498  390.00   68.6   2.2e-21 serine/threonine-protein kinase SRK2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K17534 1356.53   67.9   2.6e-21 mitogen-activated protein kinase kinase kinase MLK4 [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW93485.1_603 K08866  220.87   67.9   3.6e-21 serine/threonine-protein kinase TTK/MPS1 [EC:2.7.12.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K11480  602.23   67.8     4e-21 aurora kinase C [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K04443  716.33   67.7   4.3e-21 mitogen-activated protein kinase-activated protein kinase 2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K13435       -   67.5     4e-21 serine/threonine-protein kinase Pto
  lcl|LN828718.1_prot_CFW93485.1_603 K20535  715.70   67.5   4.4e-21 mitogen-activated protein kinase 1/2 [EC:2.7.11.24]
  lcl|LN828718.1_prot_CFW93485.1_603 K08828  853.10   67.5   5.8e-21 intestinal cell (MAK-like) kinase [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW93485.1_603 K08830  395.40   67.3   5.3e-21 renal tumor antigen [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW93485.1_603 K05109 1729.80   67.3     3e-21 Eph receptor A8 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K08800  479.17   67.2   5.6e-21 NUAK family, SNF1-like kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K08824  364.10   67.0   5.1e-21 cyclin-dependent kinase-like [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW93485.1_603 K11916  405.93   66.8   7.1e-21 serine/threonine-protein kinase Stk1 [EC:2.7.11.-]
  lcl|LN828718.1_prot_CFW93485.1_603 K04432  623.00   66.3   1.1e-20 mitogen-activated protein kinase kinase 3 [EC:2.7.12.2]
  lcl|LN828718.1_prot_CFW93485.1_603 K04675  799.30   66.1   9.7e-21 activin receptor type-1 [EC:2.7.11.30]
  lcl|LN828718.1_prot_CFW93485.1_603 K12378  539.90   66.0   1.1e-20 tyrosine-protein kinase receptor torso [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K05090 1121.23   66.0   8.1e-21 macrophage colony-stimulating factor 1 receptor [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K08819  492.13   65.9   8.7e-21 cyclin-dependent kinase 12/13 [EC:2.7.11.22 2.7.11.23]
  lcl|LN828718.1_prot_CFW93485.1_603 K08808  437.40   65.8   1.6e-20 protein serine kinase H [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K02202  428.87   65.1   1.8e-20 cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23]
  lcl|LN828718.1_prot_CFW93485.1_603 K14512  698.67   65.0   2.6e-20 mitogen-activated protein kinase 6 [EC:2.7.11.24]
  lcl|LN828718.1_prot_CFW93485.1_603 K02211  497.50   64.8   3.1e-20 cyclin-dependent kinase 9 [EC:2.7.11.22 2.7.11.23]
  lcl|LN828718.1_prot_CFW93485.1_603 K20536  700.90   64.6   3.1e-20 mitogen-activated protein kinase 3 [EC:2.7.11.24]
  lcl|LN828718.1_prot_CFW93485.1_603 K05869  454.60   63.0   1.1e-19 calcium/calmodulin-dependent protein kinase IV [EC:2.7.11.17]
  lcl|LN828718.1_prot_CFW93485.1_603 K04433  682.07   63.0   1.1e-19 mitogen-activated protein kinase kinase 6 [EC:2.7.12.2]
  lcl|LN828718.1_prot_CFW93485.1_603 K05114 1583.47   62.7   5.7e-20 Eph receptor B6 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K02089  529.90   62.7   1.2e-19 cyclin-dependent kinase 4 [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW93485.1_603 K02091  590.63   62.3   1.6e-19 cyclin-dependent kinase 6 [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW93485.1_603 K19009  748.07   62.1   1.8e-19 serine/threonine-protein kinase SIK3 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K05091 1222.23   61.5   1.6e-19 proto-oncogene tyrosine-protein kinase Kit [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K02677  910.20   61.5   2.6e-19 classical protein kinase C alpha type [EC:2.7.11.13]
  lcl|LN828718.1_prot_CFW93485.1_603 K17550  208.57   61.4   3.4e-19 protein phosphatase 1 regulatory subunit 7
  lcl|LN828718.1_prot_CFW93485.1_603 K06071 1550.17   61.4     2e-19 serine/threonine-protein kinase N1 [EC:2.7.11.13]
  lcl|LN828718.1_prot_CFW93485.1_603 K13429  476.50   61.3   2.7e-19 chitin elicitor receptor kinase 1
  lcl|LN828718.1_prot_CFW93485.1_603 K08897 1641.07   60.7   2.8e-19 Eph receptor A10 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K08795  594.17   60.7   4.8e-19 pregnancy upregulated non-ubiquitously expressed CaM kinase [EC:2.7.11.17]
  lcl|LN828718.1_prot_CFW93485.1_603 K06655  555.80   60.4     6e-19 negative regulator of the PHO system [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW93485.1_603 K16224 1717.17   60.0   5.3e-19 senescence-induced receptor-like serine/threonine-protein kinase
  lcl|LN828718.1_prot_CFW93485.1_603 K16312  267.73   59.5   1.2e-18 serine/threonine-protein kinase 40 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K05112 1866.10   59.0   8.4e-19 Eph receptor B3 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K16316  164.93   58.9     1e-18 serine/threonine-protein kinase 31 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K08864  196.97   58.7   1.6e-18 tousled-like kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K08809  702.27   58.7   5.4e-19 striated muscle-specific serine/threonine protein kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K19852  485.30   58.6   1.8e-18 serine/threonine protein kinase KIN1/2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K08836  754.83   57.8   2.2e-18 STE20-like kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K06103  772.40   57.5   2.7e-18 calcium/calmodulin-dependent serine protein kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K05092  886.30   57.5   3.2e-18 fms-related tyrosine kinase 3 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K13416 1124.00   57.4   3.8e-18 brassinosteroid insensitive 1-associated receptor kinase 1 [EC:2.7.10.1 2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K17544  149.63   57.3   3.2e-18 TBC domain-containing protein kinase-like protein
  lcl|LN828718.1_prot_CFW93485.1_603 K18669  518.53   57.2   4.3e-18 dual specificity tyrosine-phosphorylation-regulated kinase 2/3/4 [EC:2.7.12.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K04440  469.10   57.0   5.4e-18 mitogen-activated protein kinase 8/9/10 (c-Jun N-terminal kinase) [EC:2.7.11.24]
  lcl|LN828718.1_prot_CFW93485.1_603 K18679       -   56.8   4.5e-18 mitosis inducer protein kinase Cdr2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K20537  745.33   56.8   6.8e-18 mitogen-activated protein kinase 7/14 [EC:2.7.11.24]
  lcl|LN828718.1_prot_CFW93485.1_603 K04388  428.90   56.8   6.1e-18 TGF-beta receptor type-2 [EC:2.7.11.30]
  lcl|LN828718.1_prot_CFW93485.1_603 K13986 2066.77   56.7   3.9e-18 mitogen-activated protein kinase kinase kinase 15 [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW93485.1_603 K16308  680.83   56.3   3.6e-18 citron Rho-interacting kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K17531 1871.17   56.2   9.2e-19 obscurin-RhoGEF [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K04429  393.77   56.1   6.4e-18 thousand and one amino acid protein kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K02449  538.17   56.0   1.2e-17 cyclin-dependent kinase 10 [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW93485.1_603 K13578  850.23   55.5   1.8e-17 bone morphogenetic protein receptor type-1B [EC:2.7.11.30]
  lcl|LN828718.1_prot_CFW93485.1_603 K12321 1897.03   55.5   6.5e-18 guanylate cyclase 2D/E [EC:4.6.1.2]
  lcl|LN828718.1_prot_CFW93485.1_603 K18639       -   55.4   1.1e-17 serine/threonine-protein kinase KCC4 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K08898  797.73   55.2   1.4e-17 lemur tyrosine kinase 2 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K05410  855.87   55.1   2.4e-17 TANK-binding kinase 1 [EC:2.7.11.10]
  lcl|LN828718.1_prot_CFW93485.1_603 K23785  433.00   54.8   2.8e-17 serine/threonine-protein kinase RCK2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K12765  457.20   54.8   3.2e-17 meiosis induction protein kinase IME2/SME1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K11715 1499.80   54.7   1.8e-17 serine/threonine-protein kinase/endoribonuclease IRE2 [EC:2.7.11.1 3.1.26.-]
  lcl|LN828718.1_prot_CFW93485.1_603 K05744  984.60   54.7   2.3e-17 LIM domain kinase 2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K05117 1078.17   54.5   2.3e-17 c-mer proto-oncogene tyrosine kinase [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K19662 1361.97   54.0     4e-17 classical protein kinase C beta type [EC:2.7.11.13]
  lcl|LN828718.1_prot_CFW93485.1_603 K12320  852.17   53.8   3.3e-17 heat-stable enterotoxin receptor [EC:4.6.1.2]
  lcl|LN828718.1_prot_CFW93485.1_603 K08803  370.43   53.7   4.9e-17 death-associated protein kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K13730  203.73   53.5   6.2e-17 internalin A
  lcl|LN828718.1_prot_CFW93485.1_603 K08789  404.73   53.4   3.9e-17 microtubule-associated serine/threonine kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K08814  435.07   53.3   1.3e-16 tribbles homolog 1/2
  lcl|LN828718.1_prot_CFW93485.1_603 K20538  916.27   53.2   8.2e-17 mitogen-activated protein kinase 8 [EC:2.7.11.24]
  lcl|LN828718.1_prot_CFW93485.1_603 K23691 1421.60   53.0   6.5e-17 serine/threonine-protein kinase N2 [EC:2.7.11.13]
  lcl|LN828718.1_prot_CFW93485.1_603 K08821  642.70   53.0   1.2e-16 cyclin-dependent kinase 14 [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW93485.1_603 K11230 1073.20   52.6   7.2e-17 mitogen-activated protein kinase kinase kinase [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW93485.1_603 K17546  204.03   52.5     1e-16 serine/threonine kinase-like domain-containing protein STKLD1
  lcl|LN828718.1_prot_CFW93485.1_603 K04430  528.60   52.4     2e-16 mitogen-activated protein kinase kinase 4 [EC:2.7.12.2]
  lcl|LN828718.1_prot_CFW93485.1_603 K04674  881.23   52.2   1.8e-16 TGF-beta receptor type-1 [EC:2.7.11.30]
  lcl|LN828718.1_prot_CFW93485.1_603 K04464  640.93   52.1   1.9e-16 mitogen-activated protein kinase 7 [EC:2.7.11.24]
  lcl|LN828718.1_prot_CFW93485.1_603 K05688  215.63   51.9   2.1e-16 PTEN induced putative kinase 1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K00916  548.30   51.9   2.2e-16 CTD kinase subunit alpha [EC:2.7.11.22 2.7.11.23]
  lcl|LN828718.1_prot_CFW93485.1_603 K05083 1868.43   51.8   1.4e-16 receptor tyrosine-protein kinase erbB-2 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K04672  555.77   51.8   2.2e-16 anti-mullerian hormone receptor type-2 [EC:2.7.11.30]
  lcl|LN828718.1_prot_CFW93485.1_603 K04444  744.80   51.7   2.8e-16 mitogen-activated protein kinase-activated protein kinase 3 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K19603  432.80   51.4   3.4e-16 mitogen-activated protein kinase 15 [EC:2.7.11.24]
  lcl|LN828718.1_prot_CFW93485.1_603 K08832  290.67   51.3   3.1e-16 serine/threonine-protein kinase SRPK3 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K05113 1587.17   51.3   1.8e-16 Eph receptor B4 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K15595  922.37   51.0   5.2e-16 cyclin-dependent kinase 17 [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW93485.1_603 K06684  694.80   50.5   6.5e-16 cell cycle protein kinase DBF2 [EC:2.7.11.-]
  lcl|LN828718.1_prot_CFW93485.1_603 K14758  625.37   50.2   8.1e-16 casein kinase I homolog HRR25 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K11889  322.30   50.2   9.3e-16 type VI secretion system protein ImpN [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K05085 1694.53   50.2   3.5e-16 receptor tyrosine-protein kinase erbB-4 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K18680       -   50.1   6.9e-16 mitosis inducer protein kinase Cdr1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K08845 1064.63   50.1   7.4e-16 A-Raf proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K05734  905.43   49.9   9.9e-16 p21-activated kinase 4 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K04425 1917.53   49.8   4.3e-16 mitogen-activated protein kinase kinase kinase 6 [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW93485.1_603 K12766  616.83   49.6   1.1e-15 serine/threonine-protein kinase MDS1/RIM11 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K06668 1147.10   49.6     7e-16 serine/threonine-protein kinase GIN4 [EC:2.7.11.-]
  lcl|LN828718.1_prot_CFW93485.1_603 K04468  446.33   49.5   1.1e-15 nemo like kinase [EC:2.7.11.24]
  lcl|LN828718.1_prot_CFW93485.1_603 K08827  383.50   49.4   1.2e-15 serine/threonine-protein kinase PRP4 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K13872  967.63   49.2   1.5e-15 solute carrier family 7 (L-type amino acid transporter), member 6
  lcl|LN828718.1_prot_CFW93485.1_603 K04369  790.80   49.2   1.2e-15 mitogen-activated protein kinase kinase 2 [EC:2.7.12.2]
  lcl|LN828718.1_prot_CFW93485.1_603 K04670  915.00   48.8   1.6e-15 activin receptor type-2A [EC:2.7.11.30]
  lcl|LN828718.1_prot_CFW93485.1_603 K17540  185.33   48.7   1.5e-15 inactive serine/threonine-protein kinase TEX14
  lcl|LN828718.1_prot_CFW93485.1_603 K05098 1699.20   48.7   1.1e-15 kinase insert domain protein receptor [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K18873  979.43   48.5   2.4e-15 pathogen-induced protein kinase
  lcl|LN828718.1_prot_CFW93485.1_603 K06228  325.07   48.3   1.8e-15 fused [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K05084 1716.83   48.3   1.3e-15 receptor tyrosine-protein kinase erbB-3 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K04431  520.90   48.0   3.9e-15 mitogen-activated protein kinase kinase 7 [EC:2.7.12.2]
  lcl|LN828718.1_prot_CFW93485.1_603 K08826  437.10   47.8   3.1e-15 homeodomain interacting protein kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K08293  521.07   47.8   3.8e-15 sporulation-specific mitogen-activated protein kinase SMK1 [EC:2.7.11.24]
  lcl|LN828718.1_prot_CFW93485.1_603 K02218  610.53   47.6   4.9e-15 casein kinase 1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K15594  619.87   47.5   4.7e-15 cyclin-dependent kinase 15 [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW93485.1_603 K17541  308.17   47.4   3.4e-15 SCY1-like protein 2
  lcl|LN828718.1_prot_CFW93485.1_603 K13436  422.80   47.3   5.5e-15 pto-interacting protein 1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K15596  929.37   47.2   5.3e-15 cyclin-dependent kinase 18 [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW93485.1_603 K19690 1810.70   47.0     2e-15 osomolarity two-component system, sensor histidine kinase CHK1 [EC:2.7.13.3]
  lcl|LN828718.1_prot_CFW93485.1_603 K14949  372.43   46.5   7.1e-15 serine/threonine-protein kinase PknG [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K08801  389.03   46.2   7.7e-15 PAS domain containing serine/threonine kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K04732  358.90   46.0   1.2e-14 interleukin-1 receptor-associated kinase 3 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K08853  455.07   45.8   1.7e-14 AP2-associated kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K17480 1191.63   45.4   1.4e-14 lemur tyrosine kinase 1 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K04372  329.73   45.2   2.2e-14 MAP kinase interacting serine/threonine kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K19439  627.80   44.9   3.4e-14 Simplexvirus serine/threonine-protein kinase US3 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K15562  535.93   44.6     4e-14 serine/threonine-protein kinase BUR1 [EC:2.7.11.22 2.7.11.23]
  lcl|LN828718.1_prot_CFW93485.1_603 K22009  591.37   44.4   4.4e-14 protein kinase MCK1
  lcl|LN828718.1_prot_CFW93485.1_603 K04731  594.70   44.4   3.6e-14 interleukin-1 receptor-associated kinase 2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K04307  879.83   44.4   2.8e-14 relaxin family peptide receptor 2
  lcl|LN828718.1_prot_CFW93485.1_603 K14502  782.23   44.2   4.6e-14 protein brassinosteroid insensitive 2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K06667  261.43   44.1   5.2e-14 serine/threonine-protein kinase CAK1 [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW93485.1_603 K20715  643.33   44.0   3.5e-14 phototropin [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K05735  855.63   43.8   7.3e-14 p21-activated kinase 6 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K13975       -   43.3   4.6e-14 phagosome-associated TMK96
  lcl|LN828718.1_prot_CFW93485.1_603 K20714  507.73   42.8   1.6e-13 serine/threonine-protein kinase OXI1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K08820  945.17   42.1   2.2e-13 cyclin-dependent kinase 16 [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW93485.1_603 K04442  440.73   42.0   2.6e-13 mitogen-activated protein kinase-activated protein kinase 5 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K04413 2378.67   41.6   1.3e-13 misshapen/NIK-related kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K06070  315.80   41.4   2.7e-13 protein kinase D [EC:2.7.11.13]
  lcl|LN828718.1_prot_CFW93485.1_603 K05736  921.63   41.2   4.5e-13 p21-activated kinase 5 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K19763       -   40.7   6.7e-13 dual specificity mitogen-activated protein kinase kinase JKK-1 [EC:2.7.12.2]
  lcl|LN828718.1_prot_CFW93485.1_603 K23880  422.40   40.7   2.5e-13 reticulophagy regulator
  lcl|LN828718.1_prot_CFW93485.1_603 K02208  382.77   40.7   4.3e-13 cyclin-dependent kinase 8/11 [EC:2.7.11.22 2.7.11.23]
  lcl|LN828718.1_prot_CFW93485.1_603 K18670  509.53   40.6   4.6e-13 dual specificity protein kinase YAK1 [EC:2.7.12.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K14958 1216.70   40.6   4.1e-13 kinase suppressor of Ras 1
  lcl|LN828718.1_prot_CFW93485.1_603 K17532  548.10   40.4   7.2e-13 STE20-related kinase adapter protein beta
  lcl|LN828718.1_prot_CFW93485.1_603 K20839  379.13   40.0   6.1e-13 ribosomal protein S6 kinase-like
  lcl|LN828718.1_prot_CFW93485.1_603 K16309  295.80   39.7     9e-13 serine/threonine-protein kinase greatwall [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K04563  550.10   39.7   1.3e-12 cyclin-dependent kinase [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW93485.1_603 K17543  125.07   39.5   1.4e-12 PX domain-containing protein kinase-like protein
  lcl|LN828718.1_prot_CFW93485.1_603 K04406 1463.17   39.5     1e-12 mitogen-activated protein kinase kinase kinase kinase 3 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K13418 1181.47   39.4   1.1e-12 somatic embryogenesis receptor kinase 1 [EC:2.7.10.1 2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K04415  575.90   39.4   1.3e-12 mitogen-activated protein kinase kinase kinase 8 [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW93485.1_603 K02214  174.20   39.3   1.4e-12 cell division control protein 7 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K02090  549.50   39.2   1.4e-12 cyclin-dependent kinase 5 [EC:2.7.11.22]
  lcl|LN828718.1_prot_CFW93485.1_603 K08822  794.13   38.8   2.4e-12 glycogen synthase kinase 3 alpha [EC:2.7.11.26]
  lcl|LN828718.1_prot_CFW93485.1_603 K18808  523.80   38.6   1.1e-12 toll-like receptor 13
  lcl|LN828718.1_prot_CFW93485.1_603 K11227  509.90   38.5   3.3e-12 mitogen-activated protein kinase kinase [EC:2.7.12.2]
  lcl|LN828718.1_prot_CFW93485.1_603 K18809  273.37   38.0   1.6e-12 protein toll
  lcl|LN828718.1_prot_CFW93485.1_603 K13417 1377.10   36.8     7e-12 somatic embryogenesis receptor kinase 4 [EC:2.7.10.1 2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K05097 1718.77   36.8   3.6e-12 FMS-like tyrosine kinase 4 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K06686  884.53   36.5     1e-11 cell cycle protein kinase DBF20 [EC:2.7.11.-]
  lcl|LN828718.1_prot_CFW93485.1_603 K08833 1382.47   36.0   1.1e-11 mitogen-activated protein kinase kinase kinase kinase 5 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K17256  376.30   35.8     9e-12 insulin-like growth factor-binding protein complex acid labile subunit
  lcl|LN828718.1_prot_CFW93485.1_603 K16313 2270.50   35.3   9.5e-12 Nik-related protein kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K17579  229.30   35.0     3e-11 protein phosphatase 1 regulatory subunit 42
  lcl|LN828718.1_prot_CFW93485.1_603 K08957  608.23   34.9   3.5e-11 casein kinase 1, alpha [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K17388 2183.27   34.7   1.7e-11 Rho-associated protein kinase 2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K03097  235.13   34.6   4.2e-11 casein kinase II subunit alpha [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K04414 1295.60   34.4   2.8e-11 mitogen-activated protein kinase kinase kinase kinase 2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K01165  361.40   34.4   3.4e-11 ribonuclease L
  lcl|LN828718.1_prot_CFW93485.1_603 K06855  466.57   34.2   5.3e-11 mitogen-activated protein kinase 4/6 [EC:2.7.11.24]
  lcl|LN828718.1_prot_CFW93485.1_603 K04408 1253.63   33.9   5.4e-11 mitogen-activated protein kinase kinase kinase kinase 1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K13594  839.50   33.6   7.3e-11 activin receptor-like kinase 1 [EC:2.7.11.30]
  lcl|LN828718.1_prot_CFW93485.1_603 K08812  486.27   33.6   8.7e-11 CaM kinase-like vesicle-associated [EC:2.7.11.-]
  lcl|LN828718.1_prot_CFW93485.1_603 K13568  854.53   33.4   8.7e-11 activin receptor type-1C [EC:2.7.11.30]
  lcl|LN828718.1_prot_CFW93485.1_603 K19847       -   33.3   1.2e-10 MPK-like protein 1
  lcl|LN828718.1_prot_CFW93485.1_603 K08959  806.60   33.2   1.2e-10 casein kinase 1, delta [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K20237  187.30   32.9   9.3e-11 protein NUD1
  lcl|LN828718.1_prot_CFW93485.1_603 K04306  972.70   32.9   7.6e-11 relaxin family peptide receptor 1
  lcl|LN828718.1_prot_CFW93485.1_603 K08791  663.47   32.6   1.2e-10 serine/threonine-protein kinase LATS1/2 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K13428 1971.10   32.3     1e-10 LRR receptor-like serine/threonine-protein kinase EFR [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K08960  705.77   31.9     3e-10 casein kinase 1, epsilon [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K16340  460.60   31.7   1.4e-10 PH domain and leucine-rich repeat-containing protein phosphatase [EC:3.1.3.16]
  lcl|LN828718.1_prot_CFW93485.1_603 K00907  504.57   31.7   2.2e-10 myosin-light-chain kinase [EC:2.7.11.18]
  lcl|LN828718.1_prot_CFW93485.1_603 K16307  885.13   31.6   1.1e-10 serine/threonine-protein kinase MRCK [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW93485.1_603 K15486  890.10   31.5   2.9e-10 serine/threonine-protein kinase LegK1 [EC:2.7.1.-]
  lcl|LN828718.1_prot_CFW93485.1_603 K08876  265.73   31.3   3.3e-10 SCY1-like protein 1
  lcl|LN828718.1_prot_CFW93485.1_603 K19613  229.23   30.4   6.1e-10 leucine-rich repeat protein SHOC2
  lcl|LN828718.1_prot_CFW93485.1_603 K19518  466.23   30.2   1.2e-09 tribbles homolog 3
  lcl|LN828718.1_prot_CFW93485.1_603 K15353  687.83   30.0   6.2e-10 E3 ubiquitin-protein ligase SspH2
  lcl|LN828718.1_prot_CFW93485.1_603 K13023  374.77   29.9   7.6e-10 carboxypeptidase N regulatory subunit
